0:drucksache,rufe,überweisungsvorschlag,beratung,reaktorsicherheit,tagesordnungspunkt,aussprache,ausschuss,beschlussempfehlung,naturschutz
1:sagen,schon,gesagt,geht,sage,thema,dank,glaube,heute,brauchen
2:~rechtsbehelfsgesetz,~vereinfachen,~hebel,~klagerechte,~verbandsklage,~finanziertes,~parameter,~leitet,~aufklärung,~ausweitung
3:müssen,mehr,beispiel,viele,deutschland,jahren,diesis,deutlich,wichtig,dabei
4:~partnerschaftlichen,~langsamer,~bewirken,~innerstädtische,~erhobenen,~somalia,~liquidität,~ausspricht,~meeren,~düngemitteln
5:~geräumt,~überstanden,~mineralölhaltigen,~afghanische,~flegt,~zugegangen,~forschungsprogramm,~positivliste,~forschungsprojekte,~erleichtert
6:~umweltbundesamt,~giftige,~wertstoffe,~recycelt,~landen,~kältemittels,~flusssäure,~klimaanlage,~recyceln,~befriedet
7:energien,erneuerbaren,erneuerbare,strom,ausbau,netze,netz,energiepolitik,netzausbau,energieversorgung
8:~kernfusion,~tagebau,~bergrechts,~iter,~entstehung,~bundesberggesetz,~fusionsforschung,~sachgerecht,~braunkohle,~belangen
9:euro,milliarden,prozent,millionen,geld,investitionen,unternehmen,zahlen,bereich,höhe
10:ziel,internationale,weltweit,ressourcen,staaten,unserer,klimawandel,internationalen,wachstum,china
11:~solarbranche,~zukunftstechnologie,~freiflächenanlagen,~hersteller,~touristen,~chinesischen,~hierzulande,~auszulösen,~innovationsallianz,~hiesigen
12:gorleben,endlager,abfälle,asse,endlagerung,sicherheit,atommüll,atomgesetz,radioaktiver,risiken
13:grundsätzliche,fundamentale,verbietet,verkehrsträgern,einzuräumen,arbeitgebern,gravierender,band,spalten,auszahlen
14:bereits,daher,jedoch,zudem,schäden,betroffenen,wasser,derzeit,einsatz,vorgaben
15:europäischen,europäische,union,sowie,deutschen,europa,mitgliedstaaten,bundesregierung,abkommen,schutz
16:mittel,förderung,kommunen,programm,energetischen,energetische,rund,sanierung,verfügung,gemeinden
17:ländlichen,regionen,agrarpolitik,forderungen,verbesserung,fischerei,gewässer,nachhaltig,ökologischen,produktion
18:arbeit,morgen,ergänzung,geburtstag,beginn,gewählt,platz,steuern,begrüße,herzlich
19:krise,arbeitnehmer,schulden,arbeitnehmerinnen,sparen,wirtschaftspolitik,banken,zinsen,konsolidierung,arbeitslosigkeit
20:klimaschutz,kopenhagen,emissionen,konferenz,durban,emissionshandel,klimapolitik,klimakonferenz,grad,cancún
21:hätten,warum,hätte,hören,wahrheit,erlebt,gerne,falsch,verstehen,gehabt
22:natur,flächen,erhalt,lösungen,fläche,hektar,angepasst,bergbau,weder,vorliegenden
23:~baden,~württemberg,~endlich,~kanzlerin,~grün,~nordrhein,~westfalen,~konzerne,~umweltminister,~ministerpräsident
24:kommt,genau,darf,sogar,allerdings,fast,situation,gegenteil,zusammen,geführt
25:~nachhaltigkeitsverordnung,~hielt,~ufer,~einstellen,~raumfahrt,~angriff,~wesentliches,~kanälen,~partnerstaaten,~chemischer
26:landwirtschaftliche,nahrung,lebensmitteln,landwirte,anbau,pflanzen,arktis,kulturlandschaft,lebensmittel,bewertung
27:kaufen,elektro,gesetzesänderung,hervorgehoben,abfallvermeidung,leiharbeiter,modellen,anschaffung,informationen,komplexer
28:menschen,herausforderungen,gilt,leben,besonders,nutzen,gesellschaft,soziale,sozialen,gute
29:bundeswehr,afghanistan,bundestag,nato,lissabon,demokratie,soldaten,militärischen,zivile,punkte
30:seit,bürger,bürgerinnen,regierung,monaten,obwohl,landes,statt,bevölkerung,gelb
31:überschrift,peak,gedreht,medizinische,spüren,ausbildungsplätze,abhängen,aussterben,artenschutzes,bewährtes
32:zweitens,erstens,drittens,zeit,viertens,entscheidungen,politischen,einzelnen,tagen,weise
33:unterzeichnet,wohnraumförderung,verkehrt,freunde,einkommens,kennengelernt,verträge,umweltorganisationen,herangeht,autorität
34:außenpolitik,regierungschefs,staats,atomwaffen,außenminister,außen,bundesaußenminister,verständlich,militärische,demokratischen
35:~schließen,~tendenzen,~kunde,~hinterzimmer,~weiche,~reparieren,~mietnomaden,~ruhrgebiet,~überzeugungen,~umlagefähigkeit
36:bundes,flusspolitik,organisation,fristgerecht,tschechischen,bundesfernstraßen,bundesrechnungshofes,arzneimittel,flusslandschaften,größter
37:vielfalt,biologischen,biologische,landbau,verbesserungen,ökolandbau,böden,ihrerseits,integrierte,forstwirtschaft
